"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_001MA","B25003_001EA","B25003_002E","B25003_002M","B25003_002MA","B25003_002EA","B25003_003E","B25003_003EA","B25003_003M","B25003_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Annotation of Margin of Error!!Total!!Owner occupied","Annotation of Estimate!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Annotation of Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Annotation of Margin of Error!!Total!!Renter occupied",
"1400000US42101008802","Census Tract 88.02, Philadelphia County, Pennsylvania","1285","132","null","null","16","26","null","null","1269","null","131","null",
"1400000US42101009000","Census Tract 90, Philadelphia County, Pennsylvania","1094","99","null","null","151","47","null","null","943","null","104","null",
"1400000US42101009100","Census Tract 91, Philadelphia County, Pennsylvania","1407","133","null","null","263","99","null","null","1144","null","145","null",
"1400000US42101009200","Census Tract 92, Philadelphia County, Pennsylvania","1129","123","null","null","383","114","null","null","746","null","134","null",
"1400000US42101009300","Census Tract 93, Philadelphia County, Pennsylvania","1688","150","null","null","869","170","null","null","819","null","177","null",
"1400000US42101009400","Census Tract 94, Philadelphia County, Pennsylvania","1410","136","null","null","491","127","null","null","919","null","134","null",
"1400000US42101009500","Census Tract 95, Philadelphia County, Pennsylvania","1308","139","null","null","490","116","null","null","818","null","141","null",
"1400000US42101009600","Census Tract 96, Philadelphia County, Pennsylvania","1682","170","null","null","781","160","null","null","901","null","182","null",
"1400000US42101009801","Census Tract 98.01, Philadelphia County, Pennsylvania","954","103","null","null","490","160","null","null","464","null","183","null",
"1400000US42101009802","Census Tract 98.02, Philadelphia County, Pennsylvania","2052","162","null","null","1669","187","null","null","383","null","171","null",
"1400000US42101010000","Census Tract 100, Philadelphia County, Pennsylvania","1782","94","null","null","1182","125","null","null","600","null","128","null",
"1400000US42101010100","Census Tract 101, Philadelphia County, Pennsylvania","2090","192","null","null","1234","198","null","null","856","null","216","null",
"1400000US42101010200","Census Tract 102, Philadelphia County, Pennsylvania","1117","128","null","null","609","145","null","null","508","null","139","null",
"1400000US42101010300","Census Tract 103, Philadelphia County, Pennsylvania","976","112","null","null","503","95","null","null","473","null","121","null",
"1400000US42101010400","Census Tract 104, Philadelphia County, Pennsylvania","1133","162","null","null","542","113","null","null","591","null","154","null",
"1400000US42101010500","Census Tract 105, Philadelphia County, Pennsylvania","1334","144","null","null","391","94","null","null","943","null","149","null",
"1400000US42101010600","Census Tract 106, Philadelphia County, Pennsylvania","547","99","null","null","300","85","null","null","247","null","91","null",
"1400000US42101010700","Census Tract 107, Philadelphia County, Pennsylvania","1273","134","null","null","461","100","null","null","812","null","142","null",
"1400000US42101010800","Census Tract 108, Philadelphia County, Pennsylvania","1314","148","null","null","409","113","null","null","905","null","157","null",
"1400000US42101010900","Census Tract 109, Philadelphia County, Pennsylvania","829","111","null","null","375","96","null","null","454","null","109","null",
