"GEO_ID","NAME","B25077_001M","B25077_001MA","B25077_001E","B25077_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","18215","null","41500","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","31002","null","57600","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","11481","null","85600","null",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","17619","null","85000","null",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","33657","null","89700","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","15383","null","168100","null",
"1400000US42101016000","Census Tract 160, Philadelphia County, Pennsylvania","19575","null","143100","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","18172","null","83300","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","132533","null","84200","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","19052","null","57200","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","8285","null","46300","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","8936","null","35900","null",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","33847","null","57500","null",
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","7032","null","28200","null",
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","17465","null","43200","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","7466","null","47600","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","8451","null","44200","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","15901","null","39000","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","8595","null","61100","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","8884","null","49100","null",
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","16967","null","66000","null",
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","4397","null","44600","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","9326","null","51000","null",
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","14748","null","60400","null",
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","11247","null","33800","null",
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","8828","null","40900","null",
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","9798","null","42300","null",
"1400000US42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania","20887","null","62400","null",
"1400000US42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania","9671","null","39500","null",
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","10849","null","53700","null",
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","8768","null","74800","null",
"1400000US42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania","33618","null","109600","null",
"1400000US42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania","9324","null","111700","null",
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","12856","null","136300","null",
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","19221","null","122000","null",
"1400000US42101018800","Census Tract 188, Philadelphia County, Pennsylvania","7615","null","63600","null",
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","9175","null","99200","null",
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","9178","null","94200","null",
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","4549","null","55100","null",
"1400000US42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania","4767","null","43800","null",
"1400000US42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania","9339","null","43400","null",
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","4620","null","61600","null",
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","6407","null","49900","null",
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","6898","null","43100","null",
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","18340","null","55000","null",
"1400000US42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania","17958","null","65100","null",
"1400000US42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania","6642","null","73700","null",
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","8092","null","61300","null",
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","19743","null","56500","null",
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","4678","null","49400","null",
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","6987","null","54400","null",
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","34411","null","323100","null",
"1400000US42101020700","Census Tract 207, Philadelphia County, Pennsylvania","14857","null","228600","null",
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","10488","null","163700","null",
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","17432","null","229900","null",
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","7439","null","214800","null",
"1400000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","6866","null","227600","null",
"1400000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","11747","null","218500","null",
"1400000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","21524","null","230800","null",
"1400000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","16686","null","216600","null",
"1400000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","19431","null","213400","null",
"1400000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","33271","null","262500","null",
"1400000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","8168","null","233400","null",
"1400000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","15715","null","272500","null",
"1400000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","21613","null","199100","null",
"1400000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","25279","null","331400","null",
"1400000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","79645","null","390600","null",
"1400000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","116443","null","244000","null",
"1400000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","53117","null","405100","null",
"1400000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","69635","null","296800","null",
"1400000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","33359","null","193300","null",
"1400000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","66868","null","229000","null",
"1400000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","21500","null","177800","null",
"1400000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","**","**","-","-",
"1400000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","18825","null","132300","null",
"1400000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","15752","null","124000","null",
"1400000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","15277","null","105400","null",
"1400000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","10521","null","74100","null",
"1400000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","32138","null","89100","null",
"1400000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","17118","null","86200","null",
"1400000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","12787","null","84700","null",
"1400000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","8458","null","82000","null",
"1400000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","9275","null","94600","null",
"1400000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","13669","null","84400","null",
"1400000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","19116","null","197700","null",
"1400000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","29524","null","239500","null",
"1400000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","37818","null","280700","null",
"1400000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","44282","null","337100","null",
"1400000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","9441","null","154100","null",
"1400000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","15480","null","123200","null",
"1400000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","20284","null","139500","null",
"1400000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","26969","null","199100","null",
"1400000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","7255","null","131700","null",
"1400000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","16132","null","111300","null",
"1400000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","14051","null","109700","null",
"1400000US42101026400","Census Tract 264, Philadelphia County, Pennsylvania","16637","null","120000","null",
"1400000US42101026500","Census Tract 265, Philadelphia County, Pennsylvania","6479","null","96500","null",
"1400000US42101026600","Census Tract 266, Philadelphia County, Pennsylvania","7673","null","96600","null",
"1400000US42101026700","Census Tract 267, Philadelphia County, Pennsylvania","6616","null","89900","null",
"1400000US42101026800","Census Tract 268, Philadelphia County, Pennsylvania","22698","null","155800","null",
"1400000US42101026900","Census Tract 269, Philadelphia County, Pennsylvania","55200","null","210800","null",
"1400000US42101027000","Census Tract 270, Philadelphia County, Pennsylvania","11760","null","222600","null",
"1400000US42101027100","Census Tract 271, Philadelphia County, Pennsylvania","18984","null","124400","null",
"1400000US42101027200","Census Tract 272, Philadelphia County, Pennsylvania","14983","null","143800","null",
"1400000US42101027300","Census Tract 273, Philadelphia County, Pennsylvania","6345","null","105700","null",
"1400000US42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania","5434","null","98400","null",
"1400000US42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania","8029","null","98800","null",
"1400000US42101027500","Census Tract 275, Philadelphia County, Pennsylvania","8851","null","106700","null",
"1400000US42101027600","Census Tract 276, Philadelphia County, Pennsylvania","7967","null","99200","null",
"1400000US42101027700","Census Tract 277, Philadelphia County, Pennsylvania","15446","null","81000","null",
"1400000US42101027800","Census Tract 278, Philadelphia County, Pennsylvania","6779","null","92300","null",
"1400000US42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania","5213","null","82400","null",
"1400000US42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania","23961","null","75200","null",
"1400000US42101028000","Census Tract 280, Philadelphia County, Pennsylvania","8982","null","68300","null",
"1400000US42101028100","Census Tract 281, Philadelphia County, Pennsylvania","14343","null","80700","null",
"1400000US42101028200","Census Tract 282, Philadelphia County, Pennsylvania","6454","null","88300","null",
"1400000US42101028300","Census Tract 283, Philadelphia County, Pennsylvania","9417","null","79100","null",
"1400000US42101028400","Census Tract 284, Philadelphia County, Pennsylvania","14358","null","75100","null",
"1400000US42101028500","Census Tract 285, Philadelphia County, Pennsylvania","5615","null","89200","null",
"1400000US42101028600","Census Tract 286, Philadelphia County, Pennsylvania","10731","null","82300","null",
"1400000US42101028700","Census Tract 287, Philadelphia County, Pennsylvania","6236","null","63800","null",
"1400000US42101028800","Census Tract 288, Philadelphia County, Pennsylvania","8799","null","72300","null",
"1400000US42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania","12946","null","81400","null",
"1400000US42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","9369","null","90900","null",
"1400000US42101029000","Census Tract 290, Philadelphia County, Pennsylvania","11572","null","96500","null",
"1400000US42101029100","Census Tract 291, Philadelphia County, Pennsylvania","28089","null","89500","null",
"1400000US42101029200","Census Tract 292, Philadelphia County, Pennsylvania","13501","null","120700","null",
"1400000US42101029300","Census Tract 293, Philadelphia County, Pennsylvania","13677","null","81400","null",
"1400000US42101029400","Census Tract 294, Philadelphia County, Pennsylvania","5081","null","47400","null",
"1400000US42101029800","Census Tract 298, Philadelphia County, Pennsylvania","9125","null","88000","null",
"1400000US42101029900","Census Tract 299, Philadelphia County, Pennsylvania","10650","null","68500","null",
"1400000US42101030000","Census Tract 300, Philadelphia County, Pennsylvania","5650","null","85400","null",
"1400000US42101030100","Census Tract 301, Philadelphia County, Pennsylvania","20146","null","131000","null",
"1400000US42101030200","Census Tract 302, Philadelphia County, Pennsylvania","8359","null","104700","null",
"1400000US42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania","7539","null","114900","null",
"1400000US42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania","7738","null","131000","null",
"1400000US42101030600","Census Tract 306, Philadelphia County, Pennsylvania","9155","null","151900","null",
"1400000US42101030700","Census Tract 307, Philadelphia County, Pennsylvania","12870","null","175900","null",
"1400000US42101030800","Census Tract 308, Philadelphia County, Pennsylvania","6902","null","188700","null",
"1400000US42101030900","Census Tract 309, Philadelphia County, Pennsylvania","10455","null","142500","null",
"1400000US42101031000","Census Tract 310, Philadelphia County, Pennsylvania","7028","null","167500","null",
"1400000US42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania","19615","null","130700","null",
"1400000US42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania","13546","null","118600","null",
