"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US42101016000","Census Tract 160, Philadelphia County, Pennsylvania","8175","null","49430","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","3958","null","21384","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","7959","null","12449","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","4026","null","14543","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","3642","null","12365","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","5728","null","12500","null",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","13428","null","13977","null",
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","10449","null","26466","null",
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","4820","null","14473","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","4224","null","30830","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","4203","null","19491","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","5556","null","22593","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","5451","null","21869","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","6505","null","18250","null",
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","7953","null","25437","null",
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","4344","null","18842","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","5875","null","21016","null",
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","5585","null","17535","null",
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","3401","null","13601","null",
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","1433","null","10754","null",
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","5166","null","21118","null",
"1400000US42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania","6200","null","15141","null",
"1400000US42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania","4973","null","20144","null",
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","3121","null","20824","null",
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","11055","null","23875","null",
"1400000US42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania","6565","null","35625","null",
"1400000US42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania","4184","null","32298","null",
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","5986","null","41479","null",
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","6051","null","46636","null",
"1400000US42101018800","Census Tract 188, Philadelphia County, Pennsylvania","8595","null","20779","null",
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","5541","null","29140","null",
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","3095","null","25673","null",
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","6218","null","18780","null",
"1400000US42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania","4750","null","15856","null",
"1400000US42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania","6694","null","16010","null",
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","3485","null","20440","null",
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","3161","null","21408","null",
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","4353","null","18250","null",
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","13046","null","30577","null",
"1400000US42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania","9298","null","18994","null",
"1400000US42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania","9031","null","30769","null",
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","2929","null","21080","null",
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","6632","null","26250","null",
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","5552","null","31782","null",
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","2858","null","20703","null",
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","18475","null","29904","null",
"1400000US42101020700","Census Tract 207, Philadelphia County, Pennsylvania","6698","null","73069","null",
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","11245","null","34917","null",
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","14938","null","61667","null",
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","8383","null","53295","null",
"1400000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","11777","null","59531","null",
"1400000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","22090","null","46083","null",
"1400000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","8059","null","54125","null",
"1400000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","7500","null","54868","null",
"1400000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","8225","null","58375","null",
"1400000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","13602","null","29884","null",
"1400000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","6461","null","68407","null",
"1400000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","4054","null","47483","null",
"1400000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","12951","null","57639","null",
"1400000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","39864","null","76964","null",
"1400000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","49192","null","106618","null",
"1400000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","32220","null","53333","null",
"1400000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","15148","null","86797","null",
"1400000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","10185","null","38261","null",
"1400000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","4360","null","36648","null",
"1400000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","8899","null","30703","null",
"1400000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","9373","null","30717","null",
"1400000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","3102","null","11577","null",
"1400000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","6071","null","27250","null",
"1400000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","4563","null","36494","null",
"1400000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","15608","null","34023","null",
"1400000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","11601","null","23269","null",
"1400000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","3953","null","18216","null",
"1400000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","8090","null","25513","null",
"1400000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","5486","null","32378","null",
"1400000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","11817","null","29432","null",
"1400000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","7638","null","37465","null",
"1400000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","7013","null","30900","null",
"1400000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","8928","null","55972","null",
"1400000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","22049","null","58875","null",
"1400000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","8191","null","70640","null",
"1400000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","14738","null","65077","null",
"1400000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","24076","null","48098","null",
"1400000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","7371","null","44719","null",
"1400000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","6705","null","44659","null",
"1400000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","4313","null","54533","null",
"1400000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","9560","null","43235","null",
"1400000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","5804","null","47471","null",
"1400000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","8576","null","42684","null",
"1400000US42101026400","Census Tract 264, Philadelphia County, Pennsylvania","13701","null","34316","null",
"1400000US42101026500","Census Tract 265, Philadelphia County, Pennsylvania","11782","null","36942","null",
"1400000US42101026600","Census Tract 266, Philadelphia County, Pennsylvania","4391","null","43234","null",
"1400000US42101026700","Census Tract 267, Philadelphia County, Pennsylvania","5661","null","37654","null",
"1400000US42101026800","Census Tract 268, Philadelphia County, Pennsylvania","8007","null","33669","null",
"1400000US42101026900","Census Tract 269, Philadelphia County, Pennsylvania","7705","null","41337","null",
"1400000US42101027000","Census Tract 270, Philadelphia County, Pennsylvania","14196","null","59821","null",
"1400000US42101027100","Census Tract 271, Philadelphia County, Pennsylvania","7380","null","48173","null",
"1400000US42101027200","Census Tract 272, Philadelphia County, Pennsylvania","3788","null","45900","null",
"1400000US42101027300","Census Tract 273, Philadelphia County, Pennsylvania","3998","null","40767","null",
"1400000US42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania","3505","null","21364","null",
"1400000US42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania","4698","null","33289","null",
"1400000US42101027500","Census Tract 275, Philadelphia County, Pennsylvania","11997","null","39032","null",
"1400000US42101027600","Census Tract 276, Philadelphia County, Pennsylvania","8439","null","30078","null",
