"GEO_ID","NAME","H085001","H085001A",
"Geography","Label for GEO_ID","Median value","Annotation of Median value",
"1400000US42101011900","Census Tract 119, Philadelphia County, Pennsylvania","56700","null",
"1400000US42101012000","Census Tract 120, Philadelphia County, Pennsylvania","163800","null",
"1400000US42101012100","Census Tract 121, Philadelphia County, Pennsylvania","79600","null",
"1400000US42101012200","Census Tract 122, Philadelphia County, Pennsylvania","89900","null",
"1400000US42101012300","Census Tract 123, Philadelphia County, Pennsylvania","0","null",
"1400000US42101012400","Census Tract 124, Philadelphia County, Pennsylvania","0","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","97900","null",
"1400000US42101012600","Census Tract 126, Philadelphia County, Pennsylvania","79100","null",
"1400000US42101012700","Census Tract 127, Philadelphia County, Pennsylvania","81500","null",
"1400000US42101012800","Census Tract 128, Philadelphia County, Pennsylvania","78200","null",
"1400000US42101012900","Census Tract 129, Philadelphia County, Pennsylvania","101300","null",
"1400000US42101013000","Census Tract 130, Philadelphia County, Pennsylvania","78000","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","70700","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","46700","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","55000","null",
"1400000US42101013400","Census Tract 134, Philadelphia County, Pennsylvania","191300","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","86300","null",
"1400000US42101013600","Census Tract 136, Philadelphia County, Pennsylvania","100600","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","27400","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","19600","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","20900","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","28500","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","68600","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","70900","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","54800","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","36300","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","38600","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","63100","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","36500","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","12700","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","22000","null",
"1400000US42101015000","Census Tract 150, Philadelphia County, Pennsylvania","125800","null",
"1400000US42101015100","Census Tract 151, Philadelphia County, Pennsylvania","19900","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","21000","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","23500","null",
"1400000US42101015400","Census Tract 154, Philadelphia County, Pennsylvania","46500","null",
"1400000US42101015500","Census Tract 155, Philadelphia County, Pennsylvania","10,000-","10,000-",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","26700","null",
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","26600","null",
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","53800","null",
"1400000US42101015900","Census Tract 159, Philadelphia County, Pennsylvania","45800","null",
"1400000US42101016000","Census Tract 160, Philadelphia County, Pennsylvania","44600","null",
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","22500","null",
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","21600","null",
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","23500","null",
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","24600","null",
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","13400","null",
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","28400","null",
"1400000US42101016700","Census Tract 167, Philadelphia County, Pennsylvania","19400","null",
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","30600","null",
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","28100","null",
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","20200","null",
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","34100","null",
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","31900","null",
"1400000US42101017200","Census Tract 172, Philadelphia County, Pennsylvania","23700","null",
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","21500","null",
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","16400","null",
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","17500","null",
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","15300","null",
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","19200","null",
"1400000US42101017700","Census Tract 177, Philadelphia County, Pennsylvania","26000","null",
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","26200","null",
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","35800","null",
"1400000US42101018000","Census Tract 180, Philadelphia County, Pennsylvania","48000","null",
"1400000US42101018100","Census Tract 181, Philadelphia County, Pennsylvania","60600","null",
"1400000US42101018200","Census Tract 182, Philadelphia County, Pennsylvania","28100","null",
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","59500","null",
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","55600","null",
"1400000US42101018500","Census Tract 185, Philadelphia County, Pennsylvania","32500","null",
"1400000US42101018600","Census Tract 186, Philadelphia County, Pennsylvania","50900","null",
"1400000US42101018700","Census Tract 187, Philadelphia County, Pennsylvania","45000","null",
"1400000US42101018800","Census Tract 188, Philadelphia County, Pennsylvania","35300","null",
"1400000US42101018900","Census Tract 189, Philadelphia County, Pennsylvania","35900","null",
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","46000","null",
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","50800","null",
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","32600","null",
"1400000US42101019300","Census Tract 193, Philadelphia County, Pennsylvania","30900","null",
"1400000US42101019400","Census Tract 194, Philadelphia County, Pennsylvania","43800","null",
"1400000US42101019500","Census Tract 195, Philadelphia County, Pennsylvania","27100","null",
"1400000US42101019600","Census Tract 196, Philadelphia County, Pennsylvania","30400","null",
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","31300","null",
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","26400","null",
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","21000","null",
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","37500","null",
"1400000US42101020100","Census Tract 201, Philadelphia County, Pennsylvania","33600","null",
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","30100","null",
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","30200","null",
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","28000","null",
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","33000","null",
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","192100","null",
"1400000US42101020700","Census Tract 207, Philadelphia County, Pennsylvania","76000","null",
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","66900","null",
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","80100","null",
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","78200","null",
"1400000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","87600","null",
"1400000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","85600","null",
"1400000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","80500","null",
"1400000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","75700","null",
"1400000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","80800","null",
"1400000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","121100","null",
"1400000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","107600","null",
"1400000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","123300","null",
"1400000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","119200","null",
"1400000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","143300","null",
"1400000US42101022100","Census Tract 221, Philadelphia County, Pennsylvania","121400","null",
"1400000US42101022200","Census Tract 222, Philadelphia County, Pennsylvania","156100","null",
"1400000US42101022300","Census Tract 223, Philadelphia County, Pennsylvania","87100","null",
"1400000US42101022400","Census Tract 224, Philadelphia County, Pennsylvania","393100","null",
"1400000US42101022500","Census Tract 225, Philadelphia County, Pennsylvania","471400","null",
"1400000US42101022600","Census Tract 226, Philadelphia County, Pennsylvania","350000","null",
"1400000US42101022700","Census Tract 227, Philadelphia County, Pennsylvania","169800","null",
"1400000US42101022800","Census Tract 228, Philadelphia County, Pennsylvania","226600","null",
"1400000US42101022900","Census Tract 229, Philadelphia County, Pennsylvania","843800","null",
"1400000US42101023000","Census Tract 230, Philadelphia County, Pennsylvania","395800","null",
"1400000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","253000","null",
"1400000US42101023200","Census Tract 232, Philadelphia County, Pennsylvania","131000","null",
"1400000US42101023300","Census Tract 233, Philadelphia County, Pennsylvania","106600","null",
"1400000US42101023400","Census Tract 234, Philadelphia County, Pennsylvania","200000","null",
"1400000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","172300","null",
"1400000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","164200","null",
"1400000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","96600","null",
"1400000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","74800","null",
"1400000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","80000","null",
"1400000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","73800","null",
"1400000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","41600","null",
"1400000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","57600","null",
"1400000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","64200","null",
"1400000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","50800","null",
"1400000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","38200","null",
"1400000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","43100","null",
"1400000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","45200","null",
"1400000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","45500","null",
"1400000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","40400","null",
"1400000US42101025000","Census Tract 250, Philadelphia County, Pennsylvania","83700","null",
"1400000US42101025100","Census Tract 251, Philadelphia County, Pennsylvania","94600","null",
"1400000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","54400","null",
"1400000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","52100","null",
"1400000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","92800","null",
"1400000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","109300","null",
"1400000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","137200","null",
"1400000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","136900","null",
"1400000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","90600","null",
"1400000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","72700","null",
"1400000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","75500","null",
"1400000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","100100","null",
"1400000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","76400","null",
"1400000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","69500","null",
"1400000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","65300","null",
"1400000US42101026400","Census Tract 264, Philadelphia County, Pennsylvania","66800","null",
"1400000US42101026500","Census Tract 265, Philadelphia County, Pennsylvania","56400","null",
"1400000US42101026600","Census Tract 266, Philadelphia County, Pennsylvania","63000","null",
"1400000US42101026700","Census Tract 267, Philadelphia County, Pennsylvania","55600","null",
"1400000US42101026800","Census Tract 268, Philadelphia County, Pennsylvania","82100","null",
"1400000US42101026900","Census Tract 269, Philadelphia County, Pennsylvania","120800","null",
"1400000US42101027000","Census Tract 270, Philadelphia County, Pennsylvania","116500","null",
"1400000US42101027100","Census Tract 271, Philadelphia County, Pennsylvania","70500","null",
"1400000US42101027200","Census Tract 272, Philadelphia County, Pennsylvania","74800","null",
