"GEO_ID","NAME","B19113_001M","B19113_001MA","B19113_001E","B19113_001EA",
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","11903","null","50566","null",
"1400000US42101012500","Census Tract 125, Philadelphia County, Pennsylvania","39748","null","137308","null",
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","24791","null","26875","null",
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","6756","null","34213","null",
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","41176","null","65625","null",
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","95930","null","119808","null",
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","64337","null","130595","null",
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","12873","null","59728","null",
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","24825","null","136595","null",
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","30741","null","110673","null",
"1400000US42101013700","Census Tract 137, Philadelphia County, Pennsylvania","12538","null","18167","null",
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","10225","null","26146","null",
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","6405","null","13804","null",
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","28358","null","24330","null",
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","15054","null","31500","null",
"1400000US42101014200","Census Tract 142, Philadelphia County, Pennsylvania","12459","null","73036","null",
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","28063","null","68068","null",
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","9969","null","27277","null",
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","19526","null","21548","null",
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","29272","null","37838","null",
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","26895","null","27917","null",
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","64299","null","48333","null",
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","12871","null","29911","null",
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","17949","null","40449","null",
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","4061","null","10000","null",
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","4780","null","18897","null",
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","2979","null","19138","null",
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","17394","null","26750","null",
