"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US42101036203","Census Tract 362.03, Philadelphia County, Pennsylvania","4827","null","456","null","4471","null","482","null","4146","null","498","null","133","106","null","null","66","null","77","null","122","null","107","null","0","11","null","null","0","null","11","null","4","null","8","null","0","null","11","null","4","null","8","null","356","189","null","null","235","null","149","null","13","null","21","null","0","null","11","null","0","11","null","null","0","null","11","null","52","null","53","null","56","null","65","null","42","61","null","null","14","20","null","null",
"1400000US42101036301","Census Tract 363.01, Philadelphia County, Pennsylvania","4351","null","797","null","3992","null","767","null","2732","null","333","null","57","57","null","null","12","null","21","null","1117","null","717","null","0","11","null","null","70","null","88","null","4","null","6","null","4","null","6","null","0","null","11","null","359","209","null","null","254","null","166","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","47","null","61","null","58","null","59","null","41","49","null","null","17","31","null","null",
"1400000US42101036302","Census Tract 363.02, Philadelphia County, Pennsylvania","3607","null","592","null","3224","null","535","null","2560","null","495","null","664","245","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","383","203","null","null","232","null","191","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","111","null","94","null","40","null","62","null","2","6","null","null","38","61","null","null",
"1400000US42101036303","Census Tract 363.03, Philadelphia County, Pennsylvania","6609","null","1249","null","6476","null","1257","null","6266","null","1263","null","63","96","null","null","0","null","15","null","110","null","120","null","0","15","null","null","0","null","15","null","37","null","61","null","0","null","15","null","37","null","61","null","133","145","null","null","89","null","127","null","0","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","44","null","68","null","0","null","15","null","0","15","null","null","0","15","null","null",
"1400000US42101036400","Census Tract 364, Philadelphia County, Pennsylvania","999","null","226","null","910","null","220","null","730","null","178","null","147","84","null","null","0","null","11","null","8","null","11","null","0","11","null","null","0","null","11","null","25","null","44","null","0","null","11","null","25","null","44","null","89","66","null","null","62","null","52","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","21","null","41","null","6","null","14","null","6","14","null","null","0","11","null","null",
"1400000US42101036501","Census Tract 365.01, Philadelphia County, Pennsylvania","4799","null","640","null","4383","null","560","null","3464","null","678","null","538","256","null","null","5","null","12","null","292","null","241","null","0","11","null","null","0","null","11","null","84","null","93","null","30","null","49","null","54","null","74","null","416","383","null","null","360","null","381","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","56","null","78","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101036502","Census Tract 365.02, Philadelphia County, Pennsylvania","4341","null","709","null","3876","null","617","null","3665","null","629","null","6","13","null","null","0","null","11","null","173","null","114","null","0","11","null","null","0","null","11","null","32","null","32","null","16","null","25","null","16","null","19","null","465","329","null","null","100","null","89","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","190","null","204","null","175","null","227","null","175","227","null","null","0","11","null","null",
"1400000US42101036600","Census Tract 366, Philadelphia County, Pennsylvania","2132","null","351","null","1762","null","381","null","1416","null","286","null","140","167","null","null","0","null","11","null","151","null","101","null","0","11","null","null","0","null","11","null","55","null","47","null","18","null","25","null","37","null","45","null","370","191","null","null","242","null","148","null","0","null","11","null","11","null","21","null","0","11","null","null","0","null","11","null","89","null","120","null","28","null","33","null","28","33","null","null","0","11","null","null",
"1400000US42101036700","Census Tract 367, Philadelphia County, Pennsylvania","3121","null","570","null","2913","null","574","null","2318","null","500","null","303","176","null","null","0","null","11","null","235","null","188","null","0","11","null","null","0","null","11","null","57","null","39","null","0","null","11","null","57","null","39","null","208","146","null","null","104","null","116","null","22","null","26","null","13","null","23","null","0","11","null","null","0","null","11","null","43","null","49","null","26","null","42","null","26","42","null","null","0","11","null","null",
"1400000US42101036901","Census Tract 369.01, Philadelphia County, Pennsylvania","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101036902","Census Tract 369.02, Philadelphia County, Pennsylvania","6034","null","914","null","5644","null","867","null","3263","null","580","null","886","217","null","null","30","null","32","null","1283","null","270","null","0","15","null","null","3","null","5","null","179","null","96","null","18","null","27","null","161","null","91","null","390","134","null","null","318","null","121","null","9","null","15","null","0","null","15","null","0","15","null","null","0","null","15","null","49","null","56","null","14","null","20","null","14","20","null","null","0","15","null","null",
"1400000US42101037200","Census Tract 372, Philadelphia County, Pennsylvania","4241","null","648","null","4230","null","651","null","2478","null","320","null","189","123","null","null","0","null","11","null","1243","null","442","null","0","11","null","null","0","null","11","null","320","null","317","null","6","null","10","null","314","null","317","null","11","17","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","11","null","17","null","0","11","null","null","11","17","null","null",
"1400000US42101037300","Census Tract 373, Philadelphia County, Pennsylvania","5632","null","736","null","4981","null","609","null","4372","null","617","null","329","193","null","null","0","null","15","null","265","null","212","null","0","15","null","null","0","null","15","null","15","null","25","null","0","null","15","null","15","null","25","null","651","421","null","null","387","null","281","null","210","null","324","null","54","null","85","null","0","15","null","null","0","null","15","null","0","null","15","null","0","null","15","null","0","15","null","null","0","15","null","null",
"1400000US42101037500","Census Tract 375, Philadelphia County, Pennsylvania","3727","null","563","null","3532","null","542","null","1387","null","301","null","1561","452","null","null","0","null","11","null","347","null","189","null","0","11","null","null","0","null","11","null","237","null","184","null","0","null","11","null","237","null","184","null","195","88","null","null","83","null","52","null","37","null","45","null","0","null","11","null","0","11","null","null","0","null","11","null","62","null","59","null","13","null","20","null","13","20","null","null","0","11","null","null",
"1400000US42101037600","Census Tract 376, Philadelphia County, Pennsylvania","3293","null","619","null","2889","null","543","null","1468","null","313","null","655","307","null","null","24","null","35","null","677","null","263","null","0","11","null","null","17","null","27","null","48","null","40","null","0","null","11","null","48","null","40","null","404","210","null","null","157","null","84","null","0","null","11","null","0","null","11","null","21","35","null","null","0","null","11","null","156","null","127","null","70","null","101","null","66","100","null","null","4","7","null","null",
"1400000US42101037700","Census Tract 377, Philadelphia County, Pennsylvania","5100","null","632","null","4271","null","698","null","1726","null","340","null","2042","529","null","null","0","null","15","null","327","null","146","null","0","15","null","null","0","null","15","null","176","null","118","null","0","null","15","null","176","null","118","null","829","381","null","null","409","null","295","null","7","null","14","null","0","null","15","null","0","15","null","null","0","null","15","null","371","null","314","null","42","null","54","null","12","19","null","null","30","49","null","null",
"1400000US42101037800","Census Tract 378, Philadelphia County, Pennsylvania","2352","null","534","null","2194","null","487","null","2049","null","479","null","26","46","null","null","59","null","75","null","31","null","30","null","0","11","null","null","0","null","11","null","29","null","32","null","0","null","11","null","29","null","32","null","158","149","null","null","106","null","136","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","52","null","78","null","0","null","11","null","0","11","null","null","0","11","null","null",
"1400000US42101037900","Census Tract 379, Philadelphia County, Pennsylvania","4696","null","682","null","4213","null","694","null","4133","null","691","null","8","11","null","null","8","null","13","null","64","null","79","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","483","269","null","null","156","null","111","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","58","null","91","null","269","null","225","null","200","192","null","null","69","113","null","null",
"1400000US42101038000","Census Tract 380, Philadelphia County, Pennsylvania","2649","null","551","null","1684","null","499","null","1296","null","431","null","216","165","null","null","0","null","11","null","43","null","39","null","0","11","null","null","128","null","158","null","1","null","2","null","0","null","11","null","1","null","2","null","965","239","null","null","532","null","186","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","366","null","221","null","67","null","76","null","67","76","null","null","0","11","null","null",
